start,hr,temp,day,ID,label,date,shift_code,start_datetime,end_datetime
2025-03-03 15:40:00+01:00,67.0,37.106,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 15:50:00+01:00,93.0,37.108,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 16:00:00+01:00,84.0,37.127,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 16:10:00+01:00,91.0,37.086,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 16:30:00+01:00,100.0,37.0,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 16:40:00+01:00,81.0,36.983,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 16:50:00+01:00,98.0,36.898,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 17:00:00+01:00,89.0,36.923,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 17:10:00+01:00,61.0,37.086,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 17:20:00+01:00,78.0,37.159,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 17:30:00+01:00,87.0,37.1275,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 17:40:00+01:00,100.0,37.027,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 17:50:00+01:00,93.0,37.055,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 18:00:00+01:00,92.0,37.124,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 18:10:00+01:00,114.0,37.177,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 18:20:00+01:00,95.0,37.209,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 18:30:00+01:00,69.0,37.177,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 18:40:00+01:00,93.0,37.145,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 18:50:00+01:00,86.0,37.121,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 19:00:00+01:00,103.0,37.115,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 19:10:00+01:00,95.0,37.13,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 19:20:00+01:00,99.0,37.126,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 19:30:00+01:00,91.0,37.337,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 19:40:00+01:00,80.0,37.254,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 19:50:00+01:00,78.0,37.17,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 20:00:00+01:00,98.0,37.181,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 20:10:00+01:00,89.0,37.169,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 20:20:00+01:00,90.0,37.127,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 20:30:00+01:00,89.0,37.16,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 20:40:00+01:00,88.0,37.171,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 20:50:00+01:00,72.0,37.07,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
2025-03-03 21:00:00+01:00,84.0,36.9315,2025-03-03,103019.0,2.0,2025-03-03,2,2025-03-03 14:00:00+01:00,2025-03-03 22:30:00+01:00
